state,IM,record,ecu,Vult,Vbmax,ect,ecb,uindex,convergence,ecu_alpha,Vult_alpha
1,25,RSN126_GAZLI_GAZ000,-0.002585132,170,150.9657039,-0.001675628,-0.111592638,915,0,-1.333,0
1,25,RSN126_GAZLI_GAZ000,-0.003938374,170,152.0221768,-0.001996897,-0.111067505,1098,0,-0.667,0
1,25,RSN126_GAZLI_GAZ000,-0.006,170,152.0221768,-0.001944169,-0.113191643,1100,0,0,0
1,25,RSN126_GAZLI_GAZ000,-0.009140828,170,152.0221768,-0.002001548,-0.097805549,1105,0,0.667,0
1,25,RSN126_GAZLI_GAZ000,-0.013925789,170,152.0221768,-0.002021779,-0.096495189,1112,0,1.333,0
0,25,RSN126_GAZLI_GAZ000,-0.02121554,170,152.0221768,-0.001926247,-0.020370917,0,0,2,0
1,25,RSN126_GAZLI_GAZ000,-0.001696869,219.7815028,143.5295835,-0.001539087,-0.095239778,906,FAILED,-2,0.667
1,25,RSN126_GAZLI_GAZ000,-0.002585132,219.7815028,150.9657039,-0.001675628,-0.111592638,915,0,-1.333,0.667
1,25,RSN126_GAZLI_GAZ000,-0.003938374,219.7815028,152.0221768,-0.001996897,-0.111067505,1098,0,-0.667,0.667
1,25,RSN126_GAZLI_GAZ000,-0.006,219.7815028,152.0221768,-0.001944169,-0.113191643,1100,0,0,0.667
1,25,RSN126_GAZLI_GAZ000,-0.009140828,219.7815028,152.0221768,-0.002001548,-0.097805549,1105,0,0.667,0.667
1,25,RSN126_GAZLI_GAZ000,-0.013925789,219.7815028,152.0221768,-0.002021779,-0.096495189,1112,0,1.333,0.667
0,25,RSN126_GAZLI_GAZ000,-0.02121554,219.7815028,152.0221768,-0.001926247,-0.020370917,0,0,2,0.667
1,25,RSN126_GAZLI_GAZ000,-0.001696869,284.1406411,143.5295835,-0.001539087,-0.095239778,906,FAILED,-2,1.333
1,25,RSN126_GAZLI_GAZ000,-0.002585132,284.1406411,150.9657039,-0.001675628,-0.111592638,915,0,-1.333,1.333
1,25,RSN126_GAZLI_GAZ000,-0.003938374,284.1406411,152.0221768,-0.001996897,-0.111067505,1098,0,-0.667,1.333
1,25,RSN126_GAZLI_GAZ000,-0.006,284.1406411,152.0221768,-0.001944169,-0.113191643,1100,0,0,1.333
1,25,RSN126_GAZLI_GAZ000,-0.009140828,284.1406411,152.0221768,-0.002001548,-0.097805549,1105,0,0.667,1.333
1,25,RSN126_GAZLI_GAZ000,-0.013925789,284.1406411,152.0221768,-0.002021779,-0.096495189,1112,0,1.333,1.333
0,25,RSN126_GAZLI_GAZ000,-0.02121554,284.1406411,152.0221768,-0.001926247,-0.020370917,0,0,2,1.333
1,25,RSN126_GAZLI_GAZ000,-0.001696869,367.3462183,143.5295835,-0.001539087,-0.095239778,906,FAILED,-2,2
1,25,RSN126_GAZLI_GAZ000,-0.002585132,367.3462183,150.9657039,-0.001675628,-0.111592638,915,0,-1.333,2
1,25,RSN126_GAZLI_GAZ000,-0.003938374,367.3462183,152.0221768,-0.001996897,-0.111067505,1098,0,-0.667,2
1,25,RSN126_GAZLI_GAZ000,-0.006,367.3462183,152.0221768,-0.001944169,-0.113191643,1100,0,0,2
1,25,RSN126_GAZLI_GAZ000,-0.009140828,367.3462183,152.0221768,-0.002001548,-0.097805549,1105,0,0.667,2
1,25,RSN126_GAZLI_GAZ000,-0.013925789,367.3462183,152.0221768,-0.002021779,-0.096495189,1112,0,1.333,2
0,25,RSN126_GAZLI_GAZ000,-0.02121554,367.3462183,152.0221768,-0.001926247,-0.020370917,0,0,2,2
1,20,RSN126_GAZLI_GAZ000,-0.001696869,78.67237653,144.390485,-0.00147512,-0.099101395,467,FAILED,-2,-2
1,20,RSN126_GAZLI_GAZ000,-0.002585132,78.67237653,146.9562763,-0.001529052,-0.101692478,467,0,-1.333,-2
1,20,RSN126_GAZLI_GAZ000,-0.003938374,78.67237653,150.8663749,-0.001830617,-0.103071641,467,0,-0.667,-2
1,20,RSN126_GAZLI_GAZ000,-0.006,78.67237653,152.6110076,-0.001781579,-0.093334352,467,0,0,-2
1,20,RSN126_GAZLI_GAZ000,-0.009140828,78.67237653,152.7461838,-0.001804945,-0.089090494,467,0,0.667,-2
1,20,RSN126_GAZLI_GAZ000,-0.013925789,78.67237653,152.7461838,-0.0018228,-0.013184044,467,0,1.333,-2
1,20,RSN126_GAZLI_GAZ000,-0.02121554,78.67237653,152.7461838,-0.0018228,-0.013184044,467,0,2,-2
1,20,RSN126_GAZLI_GAZ000,-0.001696869,101.710195,144.390485,-0.00147512,-0.099101395,561,FAILED,-2,-1.333
1,20,RSN126_GAZLI_GAZ000,-0.002585132,101.710195,146.9562763,-0.001529052,-0.101692478,561,0,-1.333,-1.333
1,20,RSN126_GAZLI_GAZ000,-0.003938374,101.710195,150.8663749,-0.001830617,-0.103071641,561,0,-0.667,-1.333
1,20,RSN126_GAZLI_GAZ000,-0.006,101.710195,152.6110076,-0.001781579,-0.093334352,561,0,0,-1.333
1,20,RSN126_GAZLI_GAZ000,-0.009140828,101.710195,152.7461838,-0.001804945,-0.089090494,561,0,0.667,-1.333
1,20,RSN126_GAZLI_GAZ000,-0.013925789,101.710195,152.7461838,-0.0018228,-0.013184044,561,0,1.333,-1.333
1,20,RSN126_GAZLI_GAZ000,-0.02121554,101.710195,152.7461838,-0.0018228,-0.013184044,561,0,2,-1.333
1,20,RSN126_GAZLI_GAZ000,-0.001696869,131.4942324,144.390485,-0.00147512,-0.099101395,900,FAILED,-2,-0.667
1,20,RSN126_GAZLI_GAZ000,-0.002585132,131.4942324,146.9562763,-0.001529052,-0.101692478,900,0,-1.333,-0.667
