state,IM,record,ecu,Vult,Vbmax,ect,ecb,uindex,convergence,ecu_alpha,Vult_alpha
1,15,RSN461_MORGAN_HVR240,-0.006019,218.3598,154.658954,-0.001591709,-0.014348917,2192,0,0,1.414
1,15,RSN461_MORGAN_HVR240,-0.008243,137.1152,154.658954,-0.001604434,-0.006362327,405,0,1,-1
0,15,RSN461_MORGAN_HVR240,-0.008243,205.5083,154.658954,-0.001604434,-0.006362327,0,0,1,1
0,15,RSN461_MORGAN_HVR240,-0.009164,174.4819,154.658954,-0.001604434,-0.006362327,0,0,1.414,0
1,10,RSN461_MORGAN_HVR240,-0.003667,174.4819,153.5540511,-0.001504913,-0.061733261,0,0,-1.414,0
1,10,RSN461_MORGAN_HVR240,-0.004356,137.1152,154.455417,-0.001518368,-0.05655728,1750,0,-1,-1
1,10,RSN461_MORGAN_HVR240,-0.004356,205.5083,154.455417,-0.001518368,-0.05655728,2102,0,-1,1
1,10,RSN461_MORGAN_HVR240,-0.006019,121.6374,154.6406662,-0.001563607,-0.005410876,405,0,0,-1.414
0,10,RSN461_MORGAN_HVR240,-0.006019,174.4819,154.6406662,-0.001563607,-0.005410876,0,0,0,0
0,10,RSN461_MORGAN_HVR240,-0.006019,218.3598,154.6406662,-0.001563607,-0.005410876,0,0,0,1.414
1,10,RSN461_MORGAN_HVR240,-0.008243,137.1152,154.6406662,-0.001563607,-0.005410876,1750,0,1,-1
0,10,RSN461_MORGAN_HVR240,-0.008243,205.5083,154.6406662,-0.001563607,-0.005410876,0,0,1,1
0,10,RSN461_MORGAN_HVR240,-0.009164,174.4819,154.6406662,-0.001563607,-0.005410876,0,0,1.414,0
1,5,RSN461_MORGAN_HVR240,-0.003667,174.4819,144.7954102,-0.001350962,-0.001721337,0,0,-1.414,0
1,5,RSN461_MORGAN_HVR240,-0.004356,137.1152,144.7954102,-0.001350962,-0.001721337,2075,0,-1,-1
0,5,RSN461_MORGAN_HVR240,-0.004356,205.5083,144.7954102,-0.001350962,-0.001721337,0,0,-1,1
1,5,RSN461_MORGAN_HVR240,-0.006019,121.6374,144.7954102,-0.001350962,-0.001721337,1748,0,0,-1.414
0,5,RSN461_MORGAN_HVR240,-0.006019,174.4819,144.7954102,-0.001350962,-0.001721337,0,0,0,0
0,5,RSN461_MORGAN_HVR240,-0.006019,218.3598,144.7954102,-0.001350962,-0.001721337,0,0,0,1.414
1,5,RSN461_MORGAN_HVR240,-0.008243,137.1152,144.7954102,-0.001350962,-0.001721337,2075,0,1,-1
0,5,RSN461_MORGAN_HVR240,-0.008243,205.5083,144.7954102,-0.001350962,-0.001721337,0,0,1,1
0,5,RSN461_MORGAN_HVR240,-0.009164,174.4819,144.7954102,-0.001350962,-0.001721337,0,0,1.414,0
1,40,RSN518_PALMSPR_FVR045,-0.003667,174.4819,149.4420723,-0.001988014,-0.045385908,0,FAILED,-1.414,0
1,40,RSN518_PALMSPR_FVR045,-0.004356,137.1152,151.1480298,-0.003780862,-0.063461962,216,FAILED,-1,-1
1,40,RSN518_PALMSPR_FVR045,-0.004356,205.5083,151.1480298,-0.003780862,-0.063461962,654,FAILED,-1,1
1,40,RSN518_PALMSPR_FVR045,-0.006019,121.6374,151.9595427,-0.143908202,-0.143785026,209,FAILED,0,-1.414
1,40,RSN518_PALMSPR_FVR045,-0.006019,174.4819,151.9595427,-0.143908202,-0.143785026,655,FAILED,0,0
1,40,RSN518_PALMSPR_FVR045,-0.006019,218.3598,151.9595427,-0.143908202,-0.143785026,655,FAILED,0,1.414
1,40,RSN518_PALMSPR_FVR045,-0.008243,137.1152,152.3270874,-0.006484178,-0.059162392,216,FAILED,1,-1
1,40,RSN518_PALMSPR_FVR045,-0.008243,205.5083,152.3270874,-0.006484178,-0.059162392,657,FAILED,1,1
1,40,RSN518_PALMSPR_FVR045,-0.009164,174.4819,152.3270874,-0.150766964,-0.160618572,657,0,1.414,0
1,35,RSN518_PALMSPR_FVR045,-0.003667,174.4819,150.2538805,-0.143130629,-0.150431187,0,0,-1.414,0
1,35,RSN518_PALMSPR_FVR045,-0.004356,137.1152,151.7618839,-0.140527962,-0.149961643,447,0,-1,-1
1,35,RSN518_PALMSPR_FVR045,-0.004356,205.5083,151.7618839,-0.140527962,-0.149961643,656,0,-1,1
1,35,RSN518_PALMSPR_FVR045,-0.006019,121.6374,152.9159595,-0.139084889,-0.149223888,211,0,0,-1.414
1,35,RSN518_PALMSPR_FVR045,-0.006019,174.4819,152.9159595,-0.139084889,-0.149223888,658,0,0,0
1,35,RSN518_PALMSPR_FVR045,-0.006019,218.3598,152.9159595,-0.139084889,-0.149223888,658,0,0,1.414
1,35,RSN518_PALMSPR_FVR045,-0.008243,137.1152,152.9749755,-0.106415524,-0.108334088,447,0,1,-1
1,35,RSN518_PALMSPR_FVR045,-0.008243,205.5083,152.9749755,-0.106415524,-0.108334088,659,0,1,1
1,35,RSN518_PALMSPR_FVR045,-0.009164,174.4819,152.9749755,-0.140169001,-0.150818274,660,0,1.414,0
1,30,RSN518_PALMSPR_FVR045,-0.003667,174.4819,151.1281592,-0.001995003,-0.046926641,0,FAILED,-1.414,0
1,30,RSN518_PALMSPR_FVR045,-0.004356,137.1152,152.9866047,-0.129442368,-0.133923711,446,0,-1,-1
1,30,RSN518_PALMSPR_FVR045,-0.004356,205.5083,152.9866047,-0.129442368,-0.133923711,659,0,-1,1
1,30,RSN518_PALMSPR_FVR045,-0.006019,121.6374,153.4776378,-0.005129952,-0.060718441,214,FAILED,0,-1.414
