state,IM,record,ecu,Vult,Vbmax,ect,ecb,uindex,convergence,ecu_alpha,Vult_alpha,
1,35,RSN126_GAZLI_GAZ000,-0.006,130.5481559,152.6617315,-0.00258715,-0.134877395,570,0,0,-1.333333333,
1,35,RSN126_GAZLI_GAZ000,-0.007526163,130.5481559,152.8356221,-0.002908332,-0.136049848,570,0,0.666666667,-1.333333333,
1,35,RSN126_GAZLI_GAZ000,-0.00944052,130.5481559,152.8356221,-0.002582434,-0.147126732,570,0,1.333333333,-1.333333333,
1,35,RSN126_GAZLI_GAZ000,-0.011841815,130.5481559,152.8356221,-0.002492315,-0.038969802,570,FAILED,2,-1.333333333,
1,35,RSN126_GAZLI_GAZ000,-0.003040074,148.9737779,146.6889205,-0.002225956,-0.121084237,949,FAILED,-2,-0.666666667,
1,35,RSN126_GAZLI_GAZ000,-0.003813349,148.9737779,146.6889205,-0.002341657,-0.137688081,951,0,-1.333333333,-0.666666667,
1,35,RSN126_GAZLI_GAZ000,-0.004783314,148.9737779,146.6889205,-0.002341434,-0.133915178,954,0,-0.666666667,-0.666666667,
1,35,RSN126_GAZLI_GAZ000,-0.006,148.9737779,152.6617315,-0.00258715,-0.134877395,1058,0,0,-0.666666667,
1,35,RSN126_GAZLI_GAZ000,-0.007526163,148.9737779,152.8356221,-0.002908332,-0.136049848,1096,0,0.666666667,-0.666666667,
1,35,RSN126_GAZLI_GAZ000,-0.00944052,148.9737779,152.8356221,-0.002582434,-0.147126732,1096,0,1.333333333,-0.666666667,
1,35,RSN126_GAZLI_GAZ000,-0.011841815,148.9737779,152.8356221,-0.002492315,-0.038969802,1096,FAILED,2,-0.666666667,
1,35,RSN126_GAZLI_GAZ000,-0.003040074,170,146.6889205,-0.002225956,-0.121084237,949,FAILED,-2,0,
1,35,RSN126_GAZLI_GAZ000,-0.003813349,170,146.6889205,-0.002341657,-0.137688081,951,0,-1.333333333,0,
1,35,RSN126_GAZLI_GAZ000,-0.004783314,170,146.6889205,-0.002341434,-0.133915178,954,0,-0.666666667,0,
1,35,RSN126_GAZLI_GAZ000,-0.006,170,152.6617315,-0.00258715,-0.134877395,1058,0,0,0,
1,35,RSN126_GAZLI_GAZ000,-0.007526163,170,152.8356221,-0.002908332,-0.136049848,1103,0,0.666666667,0,
1,35,RSN126_GAZLI_GAZ000,-0.00944052,170,152.8356221,-0.002582434,-0.147126732,1104,0,1.333333333,0,
1,35,RSN126_GAZLI_GAZ000,-0.011841815,170,152.8356221,-0.002492315,-0.038969802,1106,FAILED,2,0,
1,35,RSN126_GAZLI_GAZ000,-0.003040074,193.9938719,146.6889205,-0.002225956,-0.121084237,949,FAILED,-2,0.666666667,
1,35,RSN126_GAZLI_GAZ000,-0.003813349,193.9938719,146.6889205,-0.002341657,-0.137688081,951,0,-1.333333333,0.666666667,
1,35,RSN126_GAZLI_GAZ000,-0.004783314,193.9938719,146.6889205,-0.002341434,-0.133915178,954,0,-0.666666667,0.666666667,
1,35,RSN126_GAZLI_GAZ000,-0.006,193.9938719,152.6617315,-0.00258715,-0.134877395,1058,0,0,0.666666667,
1,35,RSN126_GAZLI_GAZ000,-0.007526163,193.9938719,152.8356221,-0.002908332,-0.136049848,1103,0,0.666666667,0.666666667,
1,35,RSN126_GAZLI_GAZ000,-0.00944052,193.9938719,152.8356221,-0.002582434,-0.147126732,1104,0,1.333333333,0.666666667,
1,35,RSN126_GAZLI_GAZ000,-0.011841815,193.9938719,152.8356221,-0.002492315,-0.038969802,1106,FAILED,2,0.666666667,
1,35,RSN126_GAZLI_GAZ000,-0.003040074,221.3742491,146.6889205,-0.002225956,-0.121084237,949,FAILED,-2,1.333333333,
1,35,RSN126_GAZLI_GAZ000,-0.003813349,221.3742491,146.6889205,-0.002341657,-0.137688081,951,0,-1.333333333,1.333333333,
1,35,RSN126_GAZLI_GAZ000,-0.004783314,221.3742491,146.6889205,-0.002341434,-0.133915178,954,0,-0.666666667,1.333333333,
1,35,RSN126_GAZLI_GAZ000,-0.006,221.3742491,152.6617315,-0.00258715,-0.134877395,1058,0,0,1.333333333,
1,35,RSN126_GAZLI_GAZ000,-0.007526163,221.3742491,152.8356221,-0.002908332,-0.136049848,1103,0,0.666666667,1.333333333,
1,35,RSN126_GAZLI_GAZ000,-0.00944052,221.3742491,152.8356221,-0.002582434,-0.147126732,1104,0,1.333333333,1.333333333,
1,35,RSN126_GAZLI_GAZ000,-0.011841815,221.3742491,152.8356221,-0.002492315,-0.038969802,1106,FAILED,2,1.333333333,
1,35,RSN126_GAZLI_GAZ000,-0.003040074,252.6191044,146.6889205,-0.002225956,-0.121084237,949,FAILED,-2,2,
1,35,RSN126_GAZLI_GAZ000,-0.003813349,252.6191044,146.6889205,-0.002341657,-0.137688081,951,0,-1.333333333,2,
1,35,RSN126_GAZLI_GAZ000,-0.004783314,252.6191044,146.6889205,-0.002341434,-0.133915178,954,0,-0.666666667,2,
1,35,RSN126_GAZLI_GAZ000,-0.006,252.6191044,152.6617315,-0.00258715,-0.134877395,1058,0,0,2,
1,35,RSN126_GAZLI_GAZ000,-0.007526163,252.6191044,152.8356221,-0.002908332,-0.136049848,1103,0,0.666666667,2,
1,35,RSN126_GAZLI_GAZ000,-0.00944052,252.6191044,152.8356221,-0.002582434,-0.147126732,1104,0,1.333333333,2,
1,35,RSN126_GAZLI_GAZ000,-0.011841815,252.6191044,152.8356221,-0.002492315,-0.038969802,1106,FAILED,2,2,
1,30,RSN126_GAZLI_GAZ000,-0.003040074,114.4014823,152.4663657,-0.120882015,-0.124642654,564,0,-2,-2,
1,30,RSN126_GAZLI_GAZ000,-0.003813349,114.4014823,152.6839147,-0.001952305,-0.118644662,564,0,-1.333333333,-2,
